,Begin Date,Begin Time,End Time,Vehicle Location,Vehicle Type,Vehicle Characteristics,Transaction Characteristics,Bikeway Users Displaced,LZ Space Avail,Occupied while idle?,CNS?,TNC?,Notes,Duration
1176,08/30/2019,8:51:23 PM,8:55:49 PM,Space 2,Car,,No interaction with parking meter,,,False,True,False,,0:04:26
1177,08/30/2019,8:55:56 PM,9:29:50 PM,Space 2,Car,,No interaction with parking meter,,,False,True,False,,0:33:54
1178,08/30/2019,8:56:42 PM,8:57:09 PM,SB bike lane,Car,,,2.0,1.0,True,False,False,waited for space 2,0:00:27
1179,08/30/2019,8:57:22 PM,8:58:36 PM,Space 1,Car,,Interaction with parking meter,,,True,False,False,looked at the meter and left,0:01:14
1180,08/30/2019,8:59:37 PM,9:01:58 PM,Space 1,Car,,No interaction with parking meter,,,False,True,False,,0:02:21
1181,08/30/2019,9:01:16 PM,9:02:53 PM,SB bike lane,Car,Blinkers on,,0.0,0.0,False,False,True,,0:01:37
1182,08/30/2019,9:03:39 PM,9:05:52 PM,Space 1,Car,Blinkers on,No interaction with parking meter,,,False,True,False,,0:02:13
1183,08/30/2019,9:05:05 PM,10:30:00 PM,Space 3,Car,,,,,False,False,False,,1:24:55
1184,08/30/2019,9:07:25 PM,9:11:55 PM,Space 1,Car,,No interaction with parking meter,,,False,True,False,,0:04:30
1185,08/30/2019,9:12:38 PM,9:12:52 PM,SB bike lane,Car,,,0.0,1.0,False,False,True,,0:00:14
1186,08/30/2019,9:13:54 PM,9:17:55 PM,Space 1,Car,,No interaction with parking meter,,,False,True,False,,0:04:01
1187,08/30/2019,9:15:28 PM,9:15:56 PM,SB bike lane,Car,Blinkers on,,0.0,0.0,False,False,True,,0:00:28
1188,08/30/2019,9:17:43 PM,9:18:15 PM,NB right turn pocket,Car,,,,0.0,False,False,False,,0:00:32
1189,08/30/2019,9:17:50 PM,9:18:09 PM,SB bike lane,Car,,,0.0,0.0,True,False,False,,0:00:19
1190,08/30/2019,9:18:55 PM,10:28:17 PM,Space 1,Car,,Interaction with parking meter,,,False,False,False,looked at the meter but still decided to park,1:09:22
1191,08/30/2019,9:21:57 PM,9:25:09 PM,SB bike lane,Car,Blinkers on,,0.0,0.0,False,True,False,,0:03:12
1192,08/30/2019,9:38:25 PM,9:45:53 PM,Space 2,Car,Blinkers on,No interaction with parking meter,,,False,True,False,,0:07:28
1193,08/30/2019,9:47:00 PM,9:49:23 PM,Space 2,Car,,No interaction with parking meter,,,False,True,False,,0:02:23
1194,08/30/2019,9:47:20 PM,9:47:27 PM,SB bike lane,Car,,,0.0,0.0,False,False,True,,0:00:07
1195,08/30/2019,9:47:27 PM,9:47:54 PM,NB right turn pocket,Car,,,,0.0,True,False,False,,0:00:27
1196,08/30/2019,9:48:48 PM,9:50:02 PM,NB right turn pocket,Car,,,,0.0,True,False,False,,0:01:14
1197,08/30/2019,9:50:44 PM,9:54:52 PM,Space 2,Car,,No interaction with parking meter,,,False,True,False,,0:04:08
1198,08/30/2019,9:58:48 PM,10:00:13 PM,SB bike lane,Car,,,1.0,1.0,False,False,True,,0:01:25
1199,08/30/2019,10:04:20 PM,10:09:26 PM,Space 2,Car,,No one exits vehicle,,,True,False,False,,0:05:06
1200,08/30/2019,10:14:14 PM,10:14:26 PM,SB bike lane,Car,Blinkers on,,0.0,1.0,False,False,True,,0:00:12
1201,08/30/2019,10:27:31 PM,10:30:00 PM,Space 2,Car,,No interaction with parking meter,,,False,True,False,,0:02:29
